Year,S&P 500 (includes dividends),3-month T.Bill,US T. Bond, Baa Corporate Bond,Real Estate,S&P 500 (includes dividends)3,3-month T.Bill4,US T. Bond5, Baa Corporate Bond6,Real Estate2,Stocks - Bills,Stocks - Bonds,Stocks - Baa Corp Bond,Historical risk premium,Inflation Rate,S&P 500 (includes dividends)2,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3
1956,0.0744,0.0263,-0.0226,-0.0235,0.0091," $        1,115.73", $             137.98, $         210.79, $            410.84, $            250.52,0.0481,0.097,0.0979,,0.0299,0.0433,-0.0035,-0.0509,-0.0518,-0.0201
1957,-0.1046,0.0323,0.068,-0.0072,0.0272, $           999.05, $             142.43, $         225.11, $            407.89, $            257.33,-0.1368,-0.1725,-0.0974,,0.029,-0.1298,0.0032,0.0379,-0.0352,-0.0018
1958,0.4372,0.0177,-0.021,0.0643,0.0066," $        1,435.84", $             144.95, $         220.39, $            434.11, $            259.03,0.4195,0.4582,0.3729,,0.0176,0.4123,0.0001,-0.0379,0.0459,-0.0108
1959,0.1206,0.0339,-0.0265,0.0157,0.0011," $        1,608.95", $             149.86, $         214.56, $            440.95, $            259.31,0.0867,0.147,0.1048,,0.0173,0.1015,0.0163,-0.043,-0.0015,-0.0159
1960,0.0034,0.0288,0.1164,0.0666,0.0077," $        1,614.37", $             154.18, $         239.53, $            470.33, $            261.30,-0.0255,-0.113,-0.0633,0.0611,0.0136,-0.0101,0.015,0.1014,0.0523,-0.0059
1961,0.2664,0.0235,0.0206,0.051,0.0098," $        2,044.40", $             157.81, $         244.46, $            494.32, $            263.85,0.2428,0.2458,0.2154,0.0662,0.0067,0.2579,0.0167,0.0138,0.044,0.003
1962,-0.0881,0.0277,0.0569,0.065,0.0032," $        1,864.26", $             162.19, $         258.38, $            526.43, $            264.70,-0.1158,-0.1451,-0.1531,0.0597,0.0133,-0.1001,0.0142,0.043,0.0509,-0.01
1963,0.2261,0.0316,0.0168,0.0546,0.0214," $        2,285.80", $             167.31, $         262.74, $            555.19, $            270.38,0.1945,0.2093,0.1715,0.0636,0.0164,0.2063,0.0149,0.0004,0.0376,0.0049
1964,0.1642,0.0355,0.0373,0.0516,0.0126," $        2,661.02", $             173.25, $         272.53, $            583.85, $            273.78,0.1287,0.1269,0.1125,0.0653,0.0097,0.153,0.0255,0.0273,0.0415,0.0029
1965,0.124,0.0395,0.0072,0.0319,0.0166," $        2,990.97", $             180.09, $         274.49, $            602.47, $            278.32,0.0845,0.1168,0.0921,0.0666,0.0192,0.1028,0.0199,-0.0118,0.0124,-0.0026
1966,-0.0997,0.0486,0.0291,-0.0345,0.0122," $        2,692.74", $             188.84, $         282.47, $            581.72, $            281.72,-0.1483,-0.1288,-0.0653,0.0611,0.0346,-0.1298,0.0136,-0.0053,-0.0667,-0.0216
1967,0.238,0.0431,-0.0158,0.009,0.0232," $        3,333.69", $             196.98, $         278.01, $            586.92, $            288.25,0.195,0.2538,0.2291,0.0657,0.0304,0.2015,0.0123,-0.0448,-0.0208,-0.007
1968,0.1081,0.0534,0.0327,0.0485,0.0413," $        3,694.23", $             207.49, $         287.11, $            615.36, $            300.17,0.0548,0.0754,0.0597,0.066,0.0472,0.0582,0.0059,-0.0138,0.0012,-0.0056
1969,-0.0824,0.0667,-0.0501,-0.0203,0.0699," $        3,389.77", $             221.32, $         272.71, $            602.90, $            321.16,-0.1491,-0.0323,-0.0622,0.0633,0.062,-0.136,0.0044,-0.1056,-0.0774,0.0075
